"code UAI";"n° SIRET";"type d'établissement";nom;sigle;statut;tutelle;université;"boîte postale";adresse;CP;commune;"commune (COG)";cedex;téléphone;arrondissement;département;académie;région;"région (COG)";"longitude (X)";"latitude (Y)";"début portes ouvertes";"fin portes ouvertes";"commentaires portes ouvertes";"lien site onisep.fr"
0911990U;;"Institut universitaire de technologie";"IUT d'Evry (site Roméro - GLT)";;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université d'Evry-Val-d'Essonne";;"22 allée Jean Rostand";91000;Evry;91228;;"01 69 47 72 30";;Essonne;Versailles;Ile-de-France;11;2.4313195;48.6267194;10/02/2018;10/02/2018;"de 10h à 17h au Cours Monseigneur Roméro à Evry";www.onisep.fr/http/redirection/etablissement/identifiant/24673
0932270M;;"Institut universitaire de technologie";"IUT de Bobigny (Département MMI)";;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université Paris 13";;"1 rue de Chablis";93000;Bobigny;93008;;"01 48 38 88 42";;Seine-Saint-Denis;Créteil;Ile-de-France;11;2.4200454;48.9124895;10/03/2018;10/03/2018;"de 10h à 17h au Campus de Bobigny, 74 rue Marcel Cachin à Bobigny";www.onisep.fr/http/redirection/etablissement/identifiant/24703
0380127G;;"Unité de formation et de recherche";"UFR de géographie alpine";"UFR IGA";Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université Grenoble Alpes";;"14 bis av Marie Reynoard";38100;Grenoble;38185;;"04 76 82 20 00";;Isère;Grenoble;Auvergne-Rhône-Alpes;84;5.728519;45.166112;30/01/2018;30/01/2018;"de 9h à 16 (journée du lycéen-campus de Saint-Martin d'Hères)";www.onisep.fr/http/redirection/etablissement/identifiant/49
0422170F;;"Unité de formation et de recherche";"Institut d'administration des entreprises - IAE Saint-Etienne";IAE;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université Jean Monnet Saint-Etienne";;"2 rue Tréfilerie";42023;Saint-Etienne;42218;"Cedex 02";"04 77 42 13 70";;Loire;Lyon;Auvergne-Rhône-Alpes;84;4.392603;45.426401;;;;www.onisep.fr/http/redirection/etablissement/identifiant/176
0350899M;;"Unité de formation et de recherche";"Faculté de chirurgie dentaire - odontologie";;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université de Rennes 1";;"2 avenue du Pr Léon Bernard";35043;Rennes;35238;Cedex;"02 23 23 43 41";;Ille-et-Vilaine;Rennes;Bretagne;53;-1.696047;48.117314;10/02/2018;10/02/2018;"de 9h à 17h";www.onisep.fr/http/redirection/etablissement/identifiant/289
0831612B;;"Unité de formation et de recherche";"UFR Sciences de l'information et de la communication - Ingémédia";INGEMEDIA;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université de Toulon";;"70 avenue Roger Devoucoux";83000;Toulon;83137;"Cedex 83957";"04 83 36 63 28";;Var;Nice;"Provence-Alpes-Côte d'Azur";93;5.9398976;43.1211208;17/02/2018;17/02/2018;;www.onisep.fr/http/redirection/etablissement/identifiant/398
0753135A;;"Unité de formation et de recherche";"Centre d'études et de recherches sur la construction et le logement";CERCOL;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université Panthéon-Assas";;"12 place du Panthéon";75005;Paris;75105;;"01 44 41 55 61";05;Paris;Paris;Ile-de-France;11;2.345011;48.846747;;;;www.onisep.fr/http/redirection/etablissement/identifiant/553
0751942D;;"Unité de formation et de recherche";"UFR Etudes anglophones";;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université Paris Diderot";;"8 place Paul Ricoeur";75013;Paris;75113;;"01 57 27 58 00";13;Paris;Paris;Ile-de-France;11;2.3592361865082;48.83081550106;;;;www.onisep.fr/http/redirection/etablissement/identifiant/554
0540116H;;"Unité de formation et de recherche";"UFR de chirurgie dentaire";;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université de Lorraine";"BP 50208";"96 av de Lattre de Tassigny";54004;Nancy;54395;Cedex;"03 72 74 67 60";;Meurthe-et-Moselle;Nancy-Metz;Grand-Est;44;6.191304;48.6825849;;;;www.onisep.fr/http/redirection/etablissement/identifiant/692
0651017C;;"Unité de formation et de recherche";"Antenne UFR lettres, langues et sciences humaines";;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université Pau et Pays de l'Adour";;"Campus de Bastillac";65000;Tarbes;65440;;"05 62 56 61 00";;Hautes-Pyrénées;Toulouse;Occitanie;76;0.0444411;43.2227488;;;;www.onisep.fr/http/redirection/etablissement/identifiant/756
